Data;Hora;
08/05/2018;10:34:27;
08/05/2018;10:34:31;
08/05/2018;10:34:34;
08/05/2018;10:34:39;
08/05/2018;10:34:42;
08/05/2018;10:34:45;
08/05/2018;10:34:53;
08/05/2018;10:34:58;
08/05/2018;10:35:12;
08/05/2018;10:35:26;
08/05/2018;10:35:30;
08/05/2018;10:35:36;
08/05/2018;10:35:41;
08/05/2018;10:35:46;
08/05/2018;10:35:48;
08/05/2018;10:35:55;
08/05/2018;10:35:57;
08/05/2018;10:36:01;
08/05/2018;10:36:07;
08/05/2018;10:36:22;
08/05/2018;10:36:25;
08/05/2018;10:36:30;
08/05/2018;10:36:36;
08/05/2018;10:36:39;
08/05/2018;10:36:42;
08/05/2018;10:36:46;
08/05/2018;10:36:49;
08/05/2018;10:36:56;
08/05/2018;10:37:01;
08/05/2018;10:37:05;
08/05/2018;10:37:17;
08/05/2018;10:37:31;
08/05/2018;10:37:37;
08/05/2018;10:37:44;
08/05/2018;10:37:56;
08/05/2018;10:38:00;
08/05/2018;10:38:04;
08/05/2018;10:38:07;
08/05/2018;10:38:19;
08/05/2018;10:38:23;
08/05/2018;10:38:26;
08/05/2018;10:38:37;
08/05/2018;10:38:40;
08/05/2018;10:38:44;
08/05/2018;10:38:48;
08/05/2018;10:38:55;
08/05/2018;10:39:06;
08/05/2018;10:39:10;
08/05/2018;10:39:20;
08/05/2018;10:39:22;
08/05/2018;10:39:30;
08/05/2018;10:39:33;
08/05/2018;10:39:38;
08/05/2018;10:39:41;
08/05/2018;10:39:45;
08/05/2018;10:39:55;
08/05/2018;10:40:00;
08/05/2018;10:40:05;
08/05/2018;10:40:09;
08/05/2018;10:40:17;
08/05/2018;10:40:19;
08/05/2018;10:40:22;
08/05/2018;10:40:24;
08/05/2018;10:40:29;
08/05/2018;10:40:33;
08/05/2018;10:40:37;
08/05/2018;10:40:46;
08/05/2018;10:40:51;
08/05/2018;10:40:59;
08/05/2018;10:41:03;
08/05/2018;10:41:05;
08/05/2018;10:41:12;
08/05/2018;10:41:15;
08/05/2018;10:41:21;
08/05/2018;10:41:30;
08/05/2018;10:41:37;
08/05/2018;10:41:41;
08/05/2018;10:41:42;
08/05/2018;10:41:49;
08/05/2018;10:41:53;
08/05/2018;10:41:56;
08/05/2018;10:42:00;
08/05/2018;10:42:08;
08/05/2018;10:42:17;
08/05/2018;10:42:22;
08/05/2018;10:42:28;
08/05/2018;10:42:30;
08/05/2018;10:42:40;
08/05/2018;10:42:44;
08/05/2018;10:43:01;
08/05/2018;10:43:16;
08/05/2018;10:43:20;
08/05/2018;10:43:25;
08/05/2018;10:43:43;
08/05/2018;10:43:48;
08/05/2018;10:43:50;
08/05/2018;10:43:55;
08/05/2018;10:44:02;
08/05/2018;10:44:13;
08/05/2018;10:44:23;
08/05/2018;10:44:29;
08/05/2018;10:44:36;
08/05/2018;10:44:39;
08/05/2018;10:44:47;
08/05/2018;10:44:50;
08/05/2018;10:45:05;
08/05/2018;10:45:09;
08/05/2018;10:45:13;
08/05/2018;10:45:16;
08/05/2018;10:45:23;
08/05/2018;10:45:29;
08/05/2018;10:45:32;
08/05/2018;10:45:44;
08/05/2018;10:45:53;
08/05/2018;10:46:08;
08/05/2018;10:46:12;
08/05/2018;10:46:26;
08/05/2018;10:46:47;
08/05/2018;10:46:50;
08/05/2018;10:46:57;
08/05/2018;10:47:01;
08/05/2018;10:47:04;
08/05/2018;10:47:06;
08/05/2018;10:47:11;
08/05/2018;10:47:22;
08/05/2018;10:47:25;
08/05/2018;10:47:33;
08/05/2018;10:47:41;
08/05/2018;10:47:44;
08/05/2018;10:47:47;
08/05/2018;10:48:02;
08/05/2018;10:48:17;
