Data;Hora;
19/04/2018;10:33:41;
19/04/2018;10:33:49;
19/04/2018;10:33:55;
19/04/2018;10:34:10;
19/04/2018;10:34:14;
19/04/2018;10:34:19;
19/04/2018;10:34:26;
19/04/2018;10:34:31;
19/04/2018;10:34:35;
19/04/2018;10:34:41;
19/04/2018;10:34:46;
19/04/2018;10:34:51;
19/04/2018;10:34:56;
19/04/2018;10:35:02;
19/04/2018;10:35:05;
19/04/2018;10:35:22;
19/04/2018;10:35:35;
19/04/2018;10:35:40;
19/04/2018;10:35:47;
19/04/2018;10:35:50;
19/04/2018;10:35:53;
19/04/2018;10:35:57;
19/04/2018;10:36:02;
19/04/2018;10:36:05;
19/04/2018;10:36:16;
19/04/2018;10:36:23;
19/04/2018;10:36:29;
19/04/2018;10:36:34;
19/04/2018;10:36:36;
19/04/2018;10:36:39;
19/04/2018;10:36:45;
19/04/2018;10:36:48;
19/04/2018;10:36:53;
19/04/2018;10:36:58;
19/04/2018;10:37:04;
19/04/2018;10:37:08;
19/04/2018;10:37:13;
19/04/2018;10:37:20;
19/04/2018;10:37:55;
19/04/2018;10:38:00;
19/04/2018;10:38:06;
19/04/2018;10:38:10;
19/04/2018;10:38:35;
19/04/2018;10:38:43;
19/04/2018;10:38:48;
19/04/2018;10:38:57;
19/04/2018;10:39:00;
19/04/2018;10:39:06;
19/04/2018;10:39:09;
19/04/2018;10:39:16;
19/04/2018;10:39:25;
19/04/2018;10:39:29;
19/04/2018;10:39:36;
19/04/2018;10:39:40;
19/04/2018;10:39:42;
19/04/2018;10:39:49;
19/04/2018;10:40:02;
19/04/2018;10:40:08;
19/04/2018;10:40:15;
19/04/2018;10:40:17;
19/04/2018;10:40:20;
19/04/2018;10:40:30;
19/04/2018;10:40:39;
19/04/2018;10:40:42;
19/04/2018;10:40:45;
19/04/2018;10:40:52;
19/04/2018;10:40:55;
19/04/2018;10:40:59;
19/04/2018;10:41:05;
19/04/2018;10:41:12;
19/04/2018;10:41:19;
19/04/2018;10:41:24;
19/04/2018;10:41:29;
19/04/2018;10:41:34;
19/04/2018;10:41:35;
19/04/2018;10:41:41;
19/04/2018;10:41:53;
19/04/2018;10:41:58;
19/04/2018;10:42:05;
19/04/2018;10:42:10;
19/04/2018;10:42:14;
19/04/2018;10:42:22;
19/04/2018;10:42:31;
19/04/2018;10:42:40;
19/04/2018;10:42:44;
19/04/2018;10:42:48;
19/04/2018;10:42:51;
19/04/2018;10:42:54;
19/04/2018;10:43:05;
19/04/2018;10:43:09;
19/04/2018;10:43:15;
19/04/2018;10:43:16;
19/04/2018;10:43:19;
19/04/2018;10:43:27;
19/04/2018;10:43:30;
19/04/2018;10:43:32;
19/04/2018;10:43:36;
19/04/2018;10:43:39;
19/04/2018;10:43:45;
19/04/2018;10:43:51;
19/04/2018;10:44:06;
19/04/2018;10:44:12;
19/04/2018;10:44:15;
19/04/2018;10:44:24;
19/04/2018;10:44:35;
19/04/2018;10:44:44;
19/04/2018;10:44:47;
19/04/2018;10:44:57;
19/04/2018;10:45:05;
19/04/2018;10:45:25;
19/04/2018;10:45:30;
19/04/2018;10:45:32;
19/04/2018;10:45:36;
19/04/2018;10:45:43;
19/04/2018;10:45:53;
19/04/2018;10:45:57;
19/04/2018;10:46:15;
19/04/2018;10:46:30;
19/04/2018;10:46:33;
19/04/2018;10:46:38;
19/04/2018;10:46:41;
19/04/2018;10:46:43;
19/04/2018;10:46:48;
19/04/2018;10:46:52;
19/04/2018;10:46:55;
19/04/2018;10:47:03;
19/04/2018;10:47:10;
19/04/2018;10:47:27;
19/04/2018;10:47:35;
19/04/2018;10:47:38;
19/04/2018;10:47:44;
19/04/2018;10:47:53;
19/04/2018;10:47:57;
19/04/2018;10:48:00;
19/04/2018;10:48:07;
19/04/2018;10:48:11;
19/04/2018;10:48:17;
19/04/2018;10:48:23;
19/04/2018;10:48:30;
19/04/2018;10:48:36;
19/04/2018;10:48:41;
19/04/2018;10:48:50;
19/04/2018;10:48:55;
19/04/2018;10:48:59;
19/04/2018;10:49:05;
19/04/2018;10:49:07;
19/04/2018;10:49:10;
19/04/2018;10:49:13;
19/04/2018;10:49:16;
19/04/2018;10:49:20;
19/04/2018;10:49:23;
19/04/2018;10:49:30;
19/04/2018;10:49:56;
19/04/2018;10:50:01;
19/04/2018;10:50:04;
19/04/2018;10:50:10;
19/04/2018;10:50:31;
19/04/2018;10:50:36;
19/04/2018;10:50:37;
19/04/2018;10:50:52;
19/04/2018;10:50:57;
19/04/2018;10:51:01;
19/04/2018;10:51:19;
19/04/2018;10:51:23;
19/04/2018;10:51:28;
19/04/2018;10:51:32;
19/04/2018;10:51:36;
19/04/2018;10:51:39;
19/04/2018;10:51:50;
19/04/2018;10:51:57;
19/04/2018;10:52:02;
19/04/2018;10:52:08;
19/04/2018;10:52:11;
19/04/2018;10:52:18;
19/04/2018;10:52:21;
19/04/2018;10:52:31;
19/04/2018;10:52:35;
19/04/2018;10:52:40;
19/04/2018;10:52:43;
19/04/2018;10:53:05;
19/04/2018;10:53:10;
19/04/2018;10:53:14;
19/04/2018;10:53:17;
19/04/2018;10:53:19;
19/04/2018;10:53:26;
19/04/2018;10:53:35;
19/04/2018;10:53:42;
19/04/2018;10:53:44;
19/04/2018;10:53:55;
19/04/2018;10:54:11;
19/04/2018;10:54:37;
19/04/2018;10:54:39;
19/04/2018;10:54:44;
19/04/2018;10:54:48;
19/04/2018;10:54:52;
19/04/2018;10:54:55;
19/04/2018;10:54:57;
19/04/2018;10:55:02;
19/04/2018;10:55:10;
19/04/2018;10:55:12;
19/04/2018;10:55:16;
19/04/2018;10:55:29;
19/04/2018;10:55:38;
19/04/2018;10:55:43;
19/04/2018;10:56:00;
19/04/2018;10:56:04;
19/04/2018;10:56:09;
19/04/2018;10:56:13;
19/04/2018;10:56:17;
19/04/2018;10:56:21;
19/04/2018;10:56:26;
19/04/2018;10:56:28;
19/04/2018;10:56:31;
19/04/2018;10:56:45;
19/04/2018;10:56:53;
19/04/2018;10:56:57;
19/04/2018;10:57:03;
19/04/2018;10:57:08;
19/04/2018;10:57:25;
19/04/2018;10:57:31;
19/04/2018;10:57:34;
19/04/2018;10:57:37;
19/04/2018;10:57:42;
19/04/2018;10:57:47;
19/04/2018;10:58:00;
19/04/2018;10:58:07;
19/04/2018;10:58:13;
19/04/2018;10:58:21;
19/04/2018;10:58:27;
19/04/2018;10:58:35;
19/04/2018;10:58:39;
19/04/2018;10:58:42;
19/04/2018;10:58:45;
19/04/2018;10:58:52;
19/04/2018;10:58:55;
19/04/2018;10:58:57;
19/04/2018;10:59:00;
19/04/2018;10:59:02;
19/04/2018;10:59:13;
19/04/2018;10:59:18;
19/04/2018;10:59:31;
19/04/2018;10:59:39;
19/04/2018;10:59:45;
19/04/2018;10:59:54;
19/04/2018;11:00:01;
19/04/2018;11:00:14;
19/04/2018;11:00:22;
19/04/2018;11:00:27;
19/04/2018;11:00:37;
19/04/2018;11:00:43;
19/04/2018;11:00:45;
19/04/2018;11:00:52;
19/04/2018;11:01:06;
19/04/2018;11:01:07;
19/04/2018;11:01:09;
19/04/2018;11:01:12;
19/04/2018;11:01:15;
19/04/2018;11:01:19;
19/04/2018;11:01:21;
19/04/2018;11:01:24;
19/04/2018;11:01:32;
19/04/2018;11:01:39;
19/04/2018;11:01:43;
19/04/2018;11:01:46;
19/04/2018;11:01:51;
19/04/2018;11:01:56;
19/04/2018;11:02:01;
19/04/2018;11:02:16;
19/04/2018;11:02:21;
19/04/2018;11:02:28;
19/04/2018;11:02:46;
19/04/2018;11:02:59;
19/04/2018;11:03:10;
19/04/2018;11:03:16;
19/04/2018;11:03:26;
19/04/2018;11:03:34;
19/04/2018;11:03:42;
19/04/2018;11:03:45;
19/04/2018;11:03:50;
19/04/2018;11:04:04;
19/04/2018;11:04:11;
19/04/2018;11:04:15;
19/04/2018;11:04:24;
19/04/2018;11:04:38;
19/04/2018;11:04:43;
19/04/2018;11:04:51;
19/04/2018;11:04:59;
19/04/2018;11:05:14;
19/04/2018;11:05:18;
19/04/2018;11:05:21;
19/04/2018;11:05:24;
19/04/2018;11:05:38;
19/04/2018;11:05:43;
19/04/2018;11:05:48;
19/04/2018;11:05:58;
19/04/2018;11:06:02;
19/04/2018;11:06:12;
19/04/2018;11:06:18;
19/04/2018;11:06:26;
19/04/2018;11:06:29;
19/04/2018;11:06:35;
19/04/2018;11:06:45;
19/04/2018;11:06:49;
19/04/2018;11:06:58;
19/04/2018;11:07:13;
19/04/2018;11:07:25;
19/04/2018;11:07:29;
19/04/2018;11:07:33;
19/04/2018;11:07:42;
19/04/2018;11:07:45;
19/04/2018;11:07:55;
19/04/2018;11:08:06;
19/04/2018;11:08:44;
19/04/2018;11:08:53;
19/04/2018;11:08:56;
19/04/2018;11:09:01;
19/04/2018;11:09:06;
19/04/2018;11:09:08;
19/04/2018;11:09:10;
19/04/2018;11:09:13;
19/04/2018;11:09:26;
19/04/2018;11:09:28;
19/04/2018;11:09:31;
19/04/2018;11:09:34;
19/04/2018;11:09:37;
19/04/2018;11:09:46;
19/04/2018;11:09:48;
19/04/2018;11:09:52;
19/04/2018;11:09:59;
19/04/2018;11:10:39;
19/04/2018;11:10:43;
19/04/2018;11:10:46;
19/04/2018;11:10:49;
19/04/2018;11:10:51;
19/04/2018;11:10:55;
19/04/2018;11:11:02;
19/04/2018;11:11:11;
19/04/2018;11:11:30;
19/04/2018;11:11:35;
19/04/2018;11:11:40;
19/04/2018;11:11:46;
19/04/2018;11:11:58;
19/04/2018;11:12:03;
19/04/2018;11:12:06;
19/04/2018;11:12:27;
19/04/2018;11:12:29;
19/04/2018;11:12:31;
19/04/2018;11:12:34;
19/04/2018;11:12:38;
19/04/2018;11:12:47;
19/04/2018;11:12:53;
19/04/2018;11:12:59;
19/04/2018;11:13:05;
19/04/2018;11:13:14;
19/04/2018;11:13:18;
19/04/2018;11:13:21;
19/04/2018;11:13:39;
19/04/2018;11:13:55;
19/04/2018;11:13:58;
19/04/2018;11:14:01;
19/04/2018;11:14:12;
19/04/2018;11:14:15;
19/04/2018;11:14:19;
19/04/2018;11:14:22;
19/04/2018;11:14:28;
19/04/2018;11:14:31;
19/04/2018;11:14:35;
19/04/2018;11:14:37;
19/04/2018;11:14:50;
19/04/2018;11:14:59;
19/04/2018;11:15:08;
19/04/2018;11:15:13;
19/04/2018;11:15:18;
19/04/2018;11:15:30;
19/04/2018;11:15:35;
19/04/2018;11:15:38;
19/04/2018;11:15:45;
19/04/2018;11:15:50;
19/04/2018;11:15:59;
19/04/2018;11:16:02;
19/04/2018;11:16:08;
19/04/2018;11:16:16;
19/04/2018;11:16:20;
19/04/2018;11:16:24;
19/04/2018;11:16:32;
19/04/2018;11:16:41;
19/04/2018;11:16:55;
19/04/2018;11:17:06;
19/04/2018;11:17:10;
19/04/2018;11:17:15;
19/04/2018;11:17:20;
19/04/2018;11:17:27;
19/04/2018;11:17:33;
19/04/2018;11:17:39;
19/04/2018;11:17:41;
19/04/2018;11:17:45;
19/04/2018;11:17:51;
19/04/2018;11:17:53;
19/04/2018;11:18:05;
19/04/2018;11:18:11;
19/04/2018;11:18:18;
19/04/2018;11:18:23;
19/04/2018;11:18:26;
19/04/2018;11:18:30;
19/04/2018;11:18:40;
19/04/2018;11:18:44;
19/04/2018;11:18:51;
19/04/2018;11:18:57;
19/04/2018;11:19:01;
19/04/2018;11:19:09;
19/04/2018;11:19:15;
19/04/2018;11:19:22;
19/04/2018;11:19:27;
19/04/2018;11:19:35;
19/04/2018;11:19:42;
19/04/2018;11:19:44;
19/04/2018;11:19:50;
19/04/2018;11:19:55;
19/04/2018;11:20:09;
19/04/2018;11:20:19;
19/04/2018;11:20:22;
19/04/2018;11:20:24;
19/04/2018;11:20:37;
19/04/2018;11:20:46;
19/04/2018;11:20:59;
19/04/2018;11:21:04;
19/04/2018;11:21:12;
19/04/2018;11:21:18;
19/04/2018;11:21:22;
19/04/2018;11:21:28;
19/04/2018;11:21:46;
19/04/2018;11:21:49;
19/04/2018;11:21:53;
19/04/2018;11:21:56;
19/04/2018;11:21:59;
19/04/2018;11:22:04;
19/04/2018;11:22:11;
19/04/2018;11:22:19;
19/04/2018;11:22:25;
19/04/2018;11:22:35;
19/04/2018;11:22:41;
19/04/2018;11:22:44;
19/04/2018;11:22:56;
19/04/2018;11:23:04;
19/04/2018;11:23:13;
19/04/2018;11:23:17;
19/04/2018;11:23:32;
19/04/2018;11:23:35;
19/04/2018;11:23:38;
19/04/2018;11:23:45;
19/04/2018;11:23:50;
19/04/2018;11:23:58;
19/04/2018;11:23:59;
19/04/2018;11:24:05;
19/04/2018;11:24:18;
19/04/2018;11:24:22;
19/04/2018;11:24:29;
19/04/2018;11:24:44;
19/04/2018;11:24:51;
19/04/2018;11:24:56;
19/04/2018;11:25:00;
19/04/2018;11:25:01;
19/04/2018;11:25:14;
19/04/2018;11:25:20;
19/04/2018;11:25:24;
19/04/2018;11:25:27;
19/04/2018;11:25:31;
19/04/2018;11:25:34;
19/04/2018;11:25:37;
19/04/2018;11:25:52;
19/04/2018;11:26:05;
19/04/2018;11:26:10;
19/04/2018;11:26:13;
19/04/2018;11:26:15;
19/04/2018;11:26:17;
19/04/2018;11:26:27;
19/04/2018;11:26:33;
19/04/2018;11:26:35;
19/04/2018;11:26:42;
19/04/2018;11:26:48;
19/04/2018;11:27:06;
19/04/2018;11:27:26;
19/04/2018;11:27:35;
19/04/2018;11:27:39;
19/04/2018;11:27:42;
19/04/2018;11:27:44;
19/04/2018;11:27:49;
19/04/2018;11:27:55;
19/04/2018;11:27:57;
19/04/2018;11:28:01;
19/04/2018;11:28:03;
19/04/2018;11:28:07;
19/04/2018;11:28:11;
19/04/2018;11:28:14;
19/04/2018;11:28:16;
19/04/2018;11:28:26;
19/04/2018;11:28:28;
19/04/2018;11:28:41;
19/04/2018;11:28:49;
19/04/2018;11:28:52;
19/04/2018;11:29:00;
19/04/2018;11:29:04;
19/04/2018;11:29:25;
19/04/2018;11:29:26;
19/04/2018;11:29:29;
19/04/2018;11:29:31;
19/04/2018;11:29:35;
19/04/2018;11:29:37;
19/04/2018;11:29:40;
19/04/2018;11:29:48;
19/04/2018;11:30:00;
19/04/2018;11:30:02;
19/04/2018;11:30:05;
19/04/2018;11:30:24;
19/04/2018;11:30:28;
19/04/2018;11:30:31;
19/04/2018;11:30:35;
19/04/2018;11:30:46;
19/04/2018;11:30:51;
19/04/2018;11:30:53;
19/04/2018;11:31:04;
19/04/2018;11:31:08;
19/04/2018;11:31:14;
19/04/2018;11:31:18;
19/04/2018;11:31:22;
19/04/2018;11:31:25;
19/04/2018;11:31:40;
19/04/2018;11:31:42;
19/04/2018;11:31:45;
19/04/2018;11:31:49;
19/04/2018;11:31:55;
19/04/2018;11:32:02;
19/04/2018;11:32:15;
19/04/2018;11:32:27;
19/04/2018;11:32:31;
19/04/2018;11:32:36;
19/04/2018;11:32:38;
19/04/2018;11:32:40;
19/04/2018;11:32:43;
19/04/2018;11:32:47;
19/04/2018;11:32:51;
19/04/2018;11:32:55;
19/04/2018;11:32:59;
19/04/2018;11:33:06;
19/04/2018;11:33:16;
19/04/2018;11:33:20;
19/04/2018;11:33:24;
19/04/2018;11:33:28;
19/04/2018;11:33:35;
19/04/2018;11:33:38;
19/04/2018;11:33:42;
19/04/2018;11:33:58;
19/04/2018;11:34:00;
19/04/2018;11:34:07;
19/04/2018;11:34:10;
19/04/2018;11:34:22;
19/04/2018;11:34:25;
19/04/2018;11:34:39;
19/04/2018;11:34:55;
19/04/2018;11:34:58;
19/04/2018;11:35:00;
19/04/2018;11:35:03;
19/04/2018;11:35:06;
19/04/2018;11:35:10;
19/04/2018;11:35:15;
19/04/2018;11:35:17;
19/04/2018;11:35:22;
19/04/2018;11:35:48;
19/04/2018;11:35:51;
19/04/2018;11:35:59;
19/04/2018;11:36:09;
19/04/2018;11:36:22;
19/04/2018;11:36:27;
19/04/2018;11:36:33;
19/04/2018;11:36:36;
19/04/2018;11:36:44;
19/04/2018;11:36:53;
19/04/2018;11:36:56;
19/04/2018;11:37:04;
19/04/2018;11:37:08;
19/04/2018;11:37:11;
19/04/2018;11:37:26;
19/04/2018;11:37:30;
19/04/2018;11:37:34;
19/04/2018;11:37:39;
19/04/2018;11:37:49;
19/04/2018;11:37:51;
19/04/2018;11:37:55;
19/04/2018;11:38:05;
19/04/2018;11:38:22;
19/04/2018;11:38:31;
19/04/2018;11:38:55;
19/04/2018;11:39:11;
19/04/2018;11:39:21;
19/04/2018;11:39:27;
19/04/2018;11:39:31;
19/04/2018;11:39:42;
19/04/2018;11:39:54;
19/04/2018;11:40:04;
19/04/2018;11:40:08;
19/04/2018;11:40:13;
19/04/2018;11:40:16;
19/04/2018;11:40:34;
19/04/2018;11:40:41;
19/04/2018;11:40:53;
19/04/2018;11:40:55;
19/04/2018;11:40:57;
19/04/2018;11:40:59;
19/04/2018;11:41:02;
19/04/2018;11:41:05;
19/04/2018;11:41:08;
19/04/2018;11:41:13;
19/04/2018;11:41:15;
19/04/2018;11:41:47;
19/04/2018;11:41:49;
19/04/2018;11:41:53;
19/04/2018;11:42:06;
19/04/2018;11:42:17;
19/04/2018;11:42:29;
19/04/2018;11:42:44;
19/04/2018;11:42:47;
19/04/2018;11:43:04;
19/04/2018;11:43:09;
19/04/2018;11:43:18;
19/04/2018;11:43:22;
19/04/2018;11:43:30;
19/04/2018;11:43:34;
19/04/2018;11:43:36;
19/04/2018;11:43:42;
19/04/2018;11:43:53;
19/04/2018;11:43:56;
19/04/2018;11:44:02;
19/04/2018;11:44:10;
19/04/2018;11:44:11;
19/04/2018;11:44:18;
19/04/2018;11:44:33;
19/04/2018;11:44:47;
19/04/2018;11:44:51;
19/04/2018;11:44:56;
