Data;Hora;
17/04/2018;10:31:53;
17/04/2018;10:32:03;
17/04/2018;10:32:13;
17/04/2018;10:32:22;
17/04/2018;10:32:46;
17/04/2018;10:32:49;
17/04/2018;10:33:18;
17/04/2018;10:33:20;
17/04/2018;10:33:22;
17/04/2018;10:33:24;
17/04/2018;10:33:27;
17/04/2018;10:33:31;
17/04/2018;10:33:35;
17/04/2018;10:33:39;
17/04/2018;10:33:44;
17/04/2018;10:33:46;
17/04/2018;10:33:50;
17/04/2018;10:33:53;
17/04/2018;10:33:55;
17/04/2018;10:33:58;
17/04/2018;10:34:01;
17/04/2018;10:34:11;
17/04/2018;10:34:17;
17/04/2018;10:34:19;
17/04/2018;10:34:24;
17/04/2018;10:34:26;
17/04/2018;10:34:29;
17/04/2018;10:34:32;
17/04/2018;10:34:35;
17/04/2018;10:34:37;
17/04/2018;10:34:40;
17/04/2018;10:34:45;
17/04/2018;10:34:48;
17/04/2018;10:34:54;
17/04/2018;10:34:57;
17/04/2018;10:35:01;
17/04/2018;10:35:17;
17/04/2018;10:35:21;
17/04/2018;10:35:37;
17/04/2018;10:35:40;
17/04/2018;10:35:43;
17/04/2018;10:35:53;
17/04/2018;10:36:07;
17/04/2018;10:36:10;
17/04/2018;10:36:14;
17/04/2018;10:36:27;
17/04/2018;10:36:35;
17/04/2018;10:36:38;
17/04/2018;10:36:42;
17/04/2018;10:36:45;
17/04/2018;10:36:51;
17/04/2018;10:36:54;
17/04/2018;10:37:01;
17/04/2018;10:37:06;
17/04/2018;10:37:09;
17/04/2018;10:37:16;
17/04/2018;10:37:23;
17/04/2018;10:37:27;
17/04/2018;10:37:33;
17/04/2018;10:37:35;
17/04/2018;10:37:39;
17/04/2018;10:37:47;
17/04/2018;10:37:55;
17/04/2018;10:38:02;
17/04/2018;10:38:03;
17/04/2018;10:38:05;
17/04/2018;10:38:09;
17/04/2018;10:38:12;
17/04/2018;10:38:22;
17/04/2018;10:38:26;
17/04/2018;10:38:35;
17/04/2018;10:38:38;
17/04/2018;10:38:43;
17/04/2018;10:38:47;
17/04/2018;10:38:52;
17/04/2018;10:39:03;
17/04/2018;10:39:08;
17/04/2018;10:39:11;
17/04/2018;10:39:14;
17/04/2018;10:39:21;
17/04/2018;10:39:43;
17/04/2018;10:39:46;
17/04/2018;10:39:49;
17/04/2018;10:39:52;
17/04/2018;10:40:03;
17/04/2018;10:40:06;
17/04/2018;10:40:09;
17/04/2018;10:40:11;
17/04/2018;10:40:13;
17/04/2018;10:40:23;
17/04/2018;10:40:34;
17/04/2018;10:40:40;
17/04/2018;10:40:49;
17/04/2018;10:40:59;
17/04/2018;10:41:05;
17/04/2018;10:41:07;
17/04/2018;10:41:11;
17/04/2018;10:41:17;
17/04/2018;10:41:23;
17/04/2018;10:41:35;
17/04/2018;10:41:45;
17/04/2018;10:41:49;
17/04/2018;10:41:53;
17/04/2018;10:41:58;
17/04/2018;10:42:02;
17/04/2018;10:42:05;
17/04/2018;10:42:08;
17/04/2018;10:42:13;
17/04/2018;10:42:18;
17/04/2018;10:42:36;
17/04/2018;10:42:40;
17/04/2018;10:42:49;
17/04/2018;10:42:52;
17/04/2018;10:42:59;
17/04/2018;10:43:03;
17/04/2018;10:43:07;
17/04/2018;10:43:10;
17/04/2018;10:43:13;
17/04/2018;10:43:15;
17/04/2018;10:43:21;
17/04/2018;10:43:23;
17/04/2018;10:43:27;
17/04/2018;10:43:31;
17/04/2018;10:43:45;
17/04/2018;10:43:53;
17/04/2018;10:43:56;
17/04/2018;10:44:01;
17/04/2018;10:44:04;
17/04/2018;10:44:13;
17/04/2018;10:44:16;
17/04/2018;10:44:22;
17/04/2018;10:44:24;
17/04/2018;10:44:27;
17/04/2018;10:44:32;
17/04/2018;10:44:35;
17/04/2018;10:44:40;
17/04/2018;10:44:44;
17/04/2018;10:44:52;
17/04/2018;10:44:53;
17/04/2018;10:45:00;
17/04/2018;10:45:03;
17/04/2018;10:45:09;
17/04/2018;10:45:38;
17/04/2018;10:45:45;
17/04/2018;10:45:50;
17/04/2018;10:45:53;
17/04/2018;10:46:04;
17/04/2018;10:46:23;
17/04/2018;10:46:30;
17/04/2018;10:46:32;
17/04/2018;10:46:36;
17/04/2018;10:46:38;
17/04/2018;10:46:41;
17/04/2018;10:46:44;
17/04/2018;10:46:48;
17/04/2018;10:46:52;
17/04/2018;10:47:01;
17/04/2018;10:47:04;
17/04/2018;10:47:08;
17/04/2018;10:47:15;
17/04/2018;10:47:19;
17/04/2018;10:47:22;
17/04/2018;10:47:27;
17/04/2018;10:47:29;
17/04/2018;10:47:31;
17/04/2018;10:47:35;
17/04/2018;10:47:40;
17/04/2018;10:47:45;
17/04/2018;10:47:53;
17/04/2018;10:48:01;
17/04/2018;10:48:06;
17/04/2018;10:48:15;
17/04/2018;10:48:19;
17/04/2018;10:48:23;
17/04/2018;10:48:28;
17/04/2018;10:48:31;
17/04/2018;10:48:35;
17/04/2018;10:48:37;
17/04/2018;10:48:40;
17/04/2018;10:48:44;
17/04/2018;10:48:54;
17/04/2018;10:48:56;
17/04/2018;10:49:01;
17/04/2018;10:49:02;
17/04/2018;10:49:05;
17/04/2018;10:49:10;
17/04/2018;10:49:19;
17/04/2018;10:49:33;
17/04/2018;10:49:39;
17/04/2018;10:49:50;
17/04/2018;10:49:53;
17/04/2018;10:49:58;
17/04/2018;10:50:02;
17/04/2018;10:50:05;
17/04/2018;10:50:08;
17/04/2018;10:50:16;
17/04/2018;10:50:19;
17/04/2018;10:50:27;
17/04/2018;10:50:32;
17/04/2018;10:50:37;
17/04/2018;10:50:40;
17/04/2018;10:50:44;
17/04/2018;10:50:47;
17/04/2018;10:50:49;
17/04/2018;10:50:54;
17/04/2018;10:50:57;
17/04/2018;10:51:02;
17/04/2018;10:51:06;
17/04/2018;10:51:17;
17/04/2018;10:51:24;
17/04/2018;10:51:32;
17/04/2018;10:51:36;
17/04/2018;10:51:48;
17/04/2018;10:51:58;
17/04/2018;10:52:06;
17/04/2018;10:52:17;
17/04/2018;10:52:24;
17/04/2018;10:52:37;
17/04/2018;10:52:59;
17/04/2018;10:53:01;
17/04/2018;10:53:06;
17/04/2018;10:53:09;
17/04/2018;10:53:12;
17/04/2018;10:53:15;
17/04/2018;10:53:20;
17/04/2018;10:53:25;
17/04/2018;10:53:30;
17/04/2018;10:53:32;
17/04/2018;10:53:34;
17/04/2018;10:53:37;
17/04/2018;10:53:53;
17/04/2018;10:53:56;
17/04/2018;10:53:58;
17/04/2018;10:54:04;
17/04/2018;10:54:08;
17/04/2018;10:54:12;
17/04/2018;10:54:28;
17/04/2018;10:54:34;
17/04/2018;10:54:42;
17/04/2018;10:54:45;
17/04/2018;10:54:52;
17/04/2018;10:54:55;
17/04/2018;10:54:59;
17/04/2018;10:55:02;
17/04/2018;10:55:05;
17/04/2018;10:55:07;
17/04/2018;10:55:18;
17/04/2018;10:55:27;
17/04/2018;10:55:45;
17/04/2018;10:55:52;
17/04/2018;10:55:56;
17/04/2018;10:55:58;
17/04/2018;10:56:03;
17/04/2018;10:56:08;
17/04/2018;10:56:10;
17/04/2018;10:56:16;
17/04/2018;10:56:21;
17/04/2018;10:56:29;
17/04/2018;10:56:33;
17/04/2018;10:56:35;
17/04/2018;10:56:41;
17/04/2018;10:56:43;
17/04/2018;10:56:48;
17/04/2018;10:57:01;
17/04/2018;10:57:08;
