Data;Hora;
03/05/2018;10:31:29;
03/05/2018;10:31:56;
03/05/2018;10:31:59;
03/05/2018;10:32:06;
03/05/2018;10:32:09;
03/05/2018;10:32:17;
03/05/2018;10:32:28;
03/05/2018;10:32:31;
03/05/2018;10:32:43;
03/05/2018;10:32:45;
03/05/2018;10:32:48;
03/05/2018;10:32:50;
03/05/2018;10:32:55;
03/05/2018;10:33:12;
03/05/2018;10:33:19;
03/05/2018;10:33:25;
03/05/2018;10:33:30;
03/05/2018;10:33:36;
03/05/2018;10:33:39;
03/05/2018;10:33:42;
03/05/2018;10:33:43;
03/05/2018;10:33:46;
03/05/2018;10:33:51;
03/05/2018;10:33:53;
03/05/2018;10:33:57;
03/05/2018;10:34:04;
03/05/2018;10:34:07;
03/05/2018;10:34:11;
03/05/2018;10:34:24;
03/05/2018;10:34:26;
03/05/2018;10:34:29;
03/05/2018;10:34:31;
03/05/2018;10:34:36;
03/05/2018;10:34:38;
03/05/2018;10:34:47;
03/05/2018;10:34:50;
03/05/2018;10:34:55;
03/05/2018;10:35:01;
03/05/2018;10:35:03;
03/05/2018;10:35:11;
03/05/2018;10:35:17;
03/05/2018;10:35:22;
03/05/2018;10:35:43;
03/05/2018;10:35:50;
03/05/2018;10:35:52;
03/05/2018;10:36:03;
03/05/2018;10:36:08;
03/05/2018;10:36:11;
03/05/2018;10:36:13;
03/05/2018;10:36:15;
03/05/2018;10:36:18;
03/05/2018;10:36:21;
03/05/2018;10:36:24;
03/05/2018;10:36:39;
03/05/2018;10:36:49;
03/05/2018;10:36:58;
03/05/2018;10:37:01;
03/05/2018;10:37:03;
03/05/2018;10:37:12;
03/05/2018;10:37:15;
03/05/2018;10:37:19;
03/05/2018;10:37:29;
03/05/2018;10:37:36;
03/05/2018;10:37:38;
03/05/2018;10:37:45;
03/05/2018;10:37:48;
03/05/2018;10:37:52;
03/05/2018;10:37:56;
03/05/2018;10:38:02;
03/05/2018;10:38:05;
03/05/2018;10:38:07;
03/05/2018;10:38:14;
03/05/2018;10:38:17;
03/05/2018;10:38:29;
03/05/2018;10:38:32;
03/05/2018;10:38:36;
03/05/2018;10:38:40;
03/05/2018;10:38:50;
03/05/2018;10:38:53;
03/05/2018;10:38:58;
03/05/2018;10:39:02;
03/05/2018;10:39:13;
03/05/2018;10:39:18;
03/05/2018;10:39:31;
03/05/2018;10:39:34;
03/05/2018;10:39:45;
03/05/2018;10:39:48;
03/05/2018;10:39:56;
03/05/2018;10:39:58;
03/05/2018;10:40:03;
03/05/2018;10:40:14;
03/05/2018;10:40:29;
03/05/2018;10:40:38;
03/05/2018;10:40:40;
03/05/2018;10:40:47;
03/05/2018;10:40:55;
03/05/2018;10:41:01;
03/05/2018;10:41:06;
03/05/2018;10:42:00;
03/05/2018;10:42:05;
03/05/2018;10:42:21;
03/05/2018;10:42:24;
03/05/2018;10:42:32;
03/05/2018;10:42:35;
03/05/2018;10:42:42;
03/05/2018;10:42:53;
03/05/2018;10:42:57;
03/05/2018;10:43:04;
03/05/2018;10:43:24;
03/05/2018;10:43:35;
03/05/2018;10:43:49;
03/05/2018;10:43:53;
03/05/2018;10:43:57;
03/05/2018;10:43:59;
03/05/2018;10:44:10;
03/05/2018;10:44:13;
03/05/2018;10:45:10;
03/05/2018;10:45:27;
03/05/2018;10:45:54;
03/05/2018;10:46:38;
03/05/2018;10:46:53;
03/05/2018;10:47:06;
03/05/2018;10:47:10;
