Data;Hora;
26/04/2018;10:37:11;
26/04/2018;10:37:20;
26/04/2018;10:37:40;
26/04/2018;10:37:46;
26/04/2018;10:37:51;
26/04/2018;10:37:56;
26/04/2018;10:37:59;
26/04/2018;10:38:06;
26/04/2018;10:38:09;
26/04/2018;10:38:12;
26/04/2018;10:38:15;
26/04/2018;10:38:17;
26/04/2018;10:38:22;
26/04/2018;10:38:27;
26/04/2018;10:38:28;
26/04/2018;10:38:35;
26/04/2018;10:38:38;
26/04/2018;10:38:45;
26/04/2018;10:38:49;
26/04/2018;10:38:52;
26/04/2018;10:39:09;
26/04/2018;10:39:13;
26/04/2018;10:39:17;
26/04/2018;10:39:20;
26/04/2018;10:39:27;
26/04/2018;10:39:30;
26/04/2018;10:39:33;
26/04/2018;10:39:44;
26/04/2018;10:39:47;
26/04/2018;10:39:52;
26/04/2018;10:40:00;
26/04/2018;10:40:07;
26/04/2018;10:40:10;
26/04/2018;10:40:21;
26/04/2018;10:40:27;
26/04/2018;10:40:39;
26/04/2018;10:40:44;
26/04/2018;10:40:49;
26/04/2018;10:40:51;
26/04/2018;10:40:55;
26/04/2018;10:40:57;
26/04/2018;10:41:01;
26/04/2018;10:41:04;
26/04/2018;10:41:12;
26/04/2018;10:41:13;
26/04/2018;10:41:17;
26/04/2018;10:41:19;
26/04/2018;10:41:27;
26/04/2018;10:41:34;
26/04/2018;10:41:36;
26/04/2018;10:41:51;
26/04/2018;10:41:55;
26/04/2018;10:42:00;
26/04/2018;10:42:03;
26/04/2018;10:42:07;
26/04/2018;10:42:14;
26/04/2018;10:42:25;
26/04/2018;10:42:28;
26/04/2018;10:42:33;
26/04/2018;10:42:40;
26/04/2018;10:42:43;
26/04/2018;10:42:46;
26/04/2018;10:42:48;
26/04/2018;10:42:55;
26/04/2018;10:43:03;
26/04/2018;10:43:08;
26/04/2018;10:43:11;
26/04/2018;10:43:17;
26/04/2018;10:43:21;
26/04/2018;10:43:25;
26/04/2018;10:43:47;
26/04/2018;10:43:50;
26/04/2018;10:43:53;
26/04/2018;10:43:56;
26/04/2018;10:44:00;
26/04/2018;10:44:03;
26/04/2018;10:44:06;
26/04/2018;10:44:13;
26/04/2018;10:44:20;
26/04/2018;10:44:31;
26/04/2018;10:44:34;
26/04/2018;10:44:38;
26/04/2018;10:44:43;
26/04/2018;10:44:46;
26/04/2018;10:44:51;
26/04/2018;10:44:56;
26/04/2018;10:45:02;
26/04/2018;10:45:10;
26/04/2018;10:45:14;
26/04/2018;10:45:18;
26/04/2018;10:45:31;
26/04/2018;10:45:47;
26/04/2018;10:45:49;
26/04/2018;10:45:53;
26/04/2018;10:46:03;
26/04/2018;10:46:09;
26/04/2018;10:46:13;
26/04/2018;10:46:18;
26/04/2018;10:46:21;
26/04/2018;10:46:26;
26/04/2018;10:46:28;
26/04/2018;10:46:32;
26/04/2018;10:46:40;
26/04/2018;10:46:49;
26/04/2018;10:46:56;
26/04/2018;10:47:02;
26/04/2018;10:47:04;
26/04/2018;10:47:07;
26/04/2018;10:47:11;
26/04/2018;10:47:16;
26/04/2018;10:47:27;
26/04/2018;10:47:33;
26/04/2018;10:47:37;
26/04/2018;10:47:56;
26/04/2018;10:47:58;
26/04/2018;10:48:02;
26/04/2018;10:48:18;
26/04/2018;10:48:21;
26/04/2018;10:48:26;
26/04/2018;10:48:33;
26/04/2018;10:48:44;
26/04/2018;10:48:50;
26/04/2018;10:48:54;
26/04/2018;10:48:58;
26/04/2018;10:49:10;
26/04/2018;10:49:16;
