Data;Hora;
02/05/2018;10:40:52;
02/05/2018;10:41:11;
02/05/2018;10:41:31;
02/05/2018;10:41:34;
02/05/2018;10:41:37;
02/05/2018;10:41:53;
02/05/2018;10:42:05;
02/05/2018;10:42:08;
02/05/2018;10:42:14;
02/05/2018;10:42:21;
02/05/2018;10:42:26;
02/05/2018;10:42:28;
02/05/2018;10:42:35;
02/05/2018;10:42:39;
02/05/2018;10:42:48;
02/05/2018;10:42:58;
02/05/2018;10:43:03;
02/05/2018;10:43:13;
02/05/2018;10:43:18;
02/05/2018;10:43:22;
02/05/2018;10:43:24;
02/05/2018;10:43:29;
02/05/2018;10:43:41;
02/05/2018;10:43:49;
02/05/2018;10:43:52;
02/05/2018;10:43:56;
02/05/2018;10:44:05;
02/05/2018;10:44:08;
02/05/2018;10:44:12;
02/05/2018;10:44:15;
02/05/2018;10:44:28;
02/05/2018;10:44:35;
02/05/2018;10:44:41;
02/05/2018;10:44:50;
02/05/2018;10:44:55;
02/05/2018;10:44:59;
02/05/2018;10:45:18;
02/05/2018;10:45:22;
02/05/2018;10:45:26;
02/05/2018;10:45:31;
02/05/2018;10:45:34;
02/05/2018;10:45:37;
02/05/2018;10:45:40;
02/05/2018;10:45:45;
02/05/2018;10:45:56;
02/05/2018;10:46:04;
02/05/2018;10:46:07;
02/05/2018;10:46:12;
02/05/2018;10:46:16;
02/05/2018;10:46:21;
02/05/2018;10:46:29;
02/05/2018;10:46:47;
02/05/2018;10:46:54;
02/05/2018;10:46:57;
02/05/2018;10:46:59;
02/05/2018;10:47:02;
02/05/2018;10:47:08;
02/05/2018;10:47:11;
02/05/2018;10:47:21;
02/05/2018;10:47:23;
02/05/2018;10:47:35;
02/05/2018;10:47:37;
02/05/2018;10:47:43;
02/05/2018;10:47:48;
02/05/2018;10:47:57;
02/05/2018;10:47:59;
02/05/2018;10:48:12;
02/05/2018;10:48:17;
02/05/2018;10:48:22;
02/05/2018;10:48:27;
02/05/2018;10:48:39;
02/05/2018;10:48:41;
02/05/2018;10:48:44;
02/05/2018;10:48:50;
02/05/2018;10:48:52;
02/05/2018;10:48:56;
02/05/2018;10:48:59;
02/05/2018;10:49:10;
02/05/2018;10:49:15;
02/05/2018;10:49:21;
02/05/2018;10:49:26;
02/05/2018;10:49:29;
02/05/2018;10:49:37;
02/05/2018;10:49:46;
02/05/2018;10:49:49;
02/05/2018;10:49:54;
02/05/2018;10:49:57;
02/05/2018;10:50:00;
02/05/2018;10:50:03;
02/05/2018;10:50:05;
02/05/2018;10:50:11;
02/05/2018;10:50:17;
02/05/2018;10:50:22;
02/05/2018;10:50:26;
02/05/2018;10:50:32;
02/05/2018;10:50:50;
02/05/2018;10:51:06;
02/05/2018;10:51:12;
02/05/2018;10:51:16;
02/05/2018;10:51:18;
02/05/2018;10:51:20;
02/05/2018;10:51:24;
02/05/2018;10:51:26;
02/05/2018;10:51:42;
02/05/2018;10:51:45;
02/05/2018;10:51:51;
02/05/2018;10:51:57;
02/05/2018;10:52:00;
02/05/2018;10:52:04;
02/05/2018;10:52:09;
02/05/2018;10:52:15;
02/05/2018;10:52:28;
02/05/2018;10:52:34;
02/05/2018;10:52:46;
02/05/2018;10:52:47;
02/05/2018;10:52:53;
02/05/2018;10:53:09;
02/05/2018;10:53:13;
02/05/2018;10:53:16;
02/05/2018;10:53:33;
02/05/2018;10:53:47;
02/05/2018;10:53:57;
02/05/2018;10:54:00;
02/05/2018;10:54:25;
02/05/2018;10:54:29;
02/05/2018;10:54:42;
02/05/2018;10:55:05;
02/05/2018;10:55:11;
02/05/2018;10:55:19;
02/05/2018;10:55:24;
02/05/2018;10:55:29;
02/05/2018;10:55:37;
02/05/2018;10:56:00;
02/05/2018;10:56:10;
02/05/2018;10:56:12;
02/05/2018;10:56:16;
02/05/2018;10:56:22;
02/05/2018;10:56:25;
02/05/2018;10:56:33;
02/05/2018;10:56:36;
02/05/2018;10:56:39;
02/05/2018;10:56:43;
02/05/2018;10:56:44;
02/05/2018;10:56:47;
02/05/2018;10:56:51;
02/05/2018;10:57:00;
02/05/2018;10:57:06;
02/05/2018;10:57:12;
02/05/2018;10:57:14;
02/05/2018;10:57:20;
02/05/2018;10:57:31;
02/05/2018;10:57:36;
02/05/2018;10:57:40;
02/05/2018;10:57:44;
02/05/2018;10:57:52;
02/05/2018;10:57:56;
02/05/2018;10:58:07;
02/05/2018;10:58:14;
02/05/2018;10:58:18;
02/05/2018;10:58:24;
02/05/2018;10:58:28;
02/05/2018;10:58:31;
02/05/2018;10:58:34;
02/05/2018;10:58:40;
02/05/2018;10:58:44;
02/05/2018;10:58:55;
02/05/2018;10:59:00;
02/05/2018;10:59:03;
02/05/2018;10:59:16;
02/05/2018;10:59:21;
02/05/2018;10:59:24;
02/05/2018;10:59:26;
02/05/2018;10:59:43;
02/05/2018;10:59:50;
02/05/2018;10:59:53;
02/05/2018;10:59:56;
02/05/2018;11:00:10;
02/05/2018;11:00:24;
02/05/2018;11:00:44;
02/05/2018;11:00:47;
02/05/2018;11:00:51;
02/05/2018;11:00:56;
02/05/2018;11:00:59;
02/05/2018;11:01:09;
02/05/2018;11:01:12;
02/05/2018;11:01:17;
02/05/2018;11:01:48;
02/05/2018;11:01:52;
02/05/2018;11:01:53;
02/05/2018;11:02:02;
02/05/2018;11:02:05;
02/05/2018;11:02:12;
02/05/2018;11:02:20;
02/05/2018;11:02:27;
02/05/2018;11:02:32;
02/05/2018;11:02:39;
02/05/2018;11:02:48;
02/05/2018;11:02:56;
02/05/2018;11:03:02;
02/05/2018;11:03:06;
02/05/2018;11:03:37;
02/05/2018;11:04:39;
02/05/2018;11:04:52;
02/05/2018;11:04:58;
02/05/2018;11:05:03;
02/05/2018;11:05:09;
02/05/2018;11:05:13;
02/05/2018;11:05:26;
02/05/2018;11:05:29;
02/05/2018;11:05:33;
02/05/2018;11:05:37;
02/05/2018;11:05:52;
02/05/2018;11:05:56;
02/05/2018;11:06:03;
02/05/2018;11:06:10;
02/05/2018;11:06:17;
02/05/2018;11:06:26;
02/05/2018;11:06:30;
02/05/2018;11:06:54;
02/05/2018;11:07:02;
02/05/2018;11:07:08;
02/05/2018;11:07:20;
02/05/2018;11:07:28;
02/05/2018;11:07:56;
02/05/2018;11:08:09;
02/05/2018;11:08:22;
02/05/2018;11:08:26;
02/05/2018;11:08:29;
02/05/2018;11:08:32;
02/05/2018;11:08:42;
02/05/2018;11:08:47;
02/05/2018;11:08:53;
02/05/2018;11:08:59;
02/05/2018;11:09:25;
02/05/2018;11:09:42;
02/05/2018;11:09:45;
02/05/2018;11:09:48;
02/05/2018;11:10:00;
02/05/2018;11:10:05;
02/05/2018;11:10:17;
02/05/2018;11:10:20;
02/05/2018;11:10:27;
02/05/2018;11:10:32;
02/05/2018;11:10:49;
02/05/2018;11:11:04;
02/05/2018;11:11:37;
02/05/2018;11:11:42;
02/05/2018;11:11:45;
02/05/2018;11:11:48;
02/05/2018;11:11:54;
02/05/2018;11:11:58;
02/05/2018;11:12:01;
02/05/2018;11:12:08;
02/05/2018;11:12:13;
02/05/2018;11:12:26;
02/05/2018;11:12:37;
02/05/2018;11:12:48;
02/05/2018;11:13:10;
02/05/2018;11:13:14;
02/05/2018;11:13:17;
02/05/2018;11:13:30;
02/05/2018;11:13:34;
02/05/2018;11:13:44;
02/05/2018;11:13:49;
02/05/2018;11:13:53;
02/05/2018;11:14:00;
02/05/2018;11:14:03;
02/05/2018;11:14:07;
02/05/2018;11:14:12;
02/05/2018;11:14:16;
02/05/2018;11:14:21;
02/05/2018;11:14:24;
02/05/2018;11:14:27;
02/05/2018;11:14:33;
02/05/2018;11:14:38;
02/05/2018;11:14:44;
02/05/2018;11:15:00;
02/05/2018;11:15:02;
02/05/2018;11:15:07;
02/05/2018;11:15:14;
02/05/2018;11:15:16;
02/05/2018;11:15:19;
02/05/2018;11:15:24;
02/05/2018;11:15:28;
02/05/2018;11:15:32;
02/05/2018;11:15:43;
02/05/2018;11:15:53;
02/05/2018;11:15:55;
02/05/2018;11:15:59;
02/05/2018;11:16:06;
02/05/2018;11:16:11;
02/05/2018;11:16:14;
02/05/2018;11:16:17;
02/05/2018;11:16:20;
02/05/2018;11:16:24;
02/05/2018;11:16:34;
02/05/2018;11:16:54;
02/05/2018;11:16:57;
02/05/2018;11:16:59;
02/05/2018;11:17:04;
02/05/2018;11:17:09;
02/05/2018;11:17:17;
02/05/2018;11:17:27;
02/05/2018;11:17:33;
02/05/2018;11:17:37;
02/05/2018;11:17:48;
02/05/2018;11:17:55;
02/05/2018;11:18:10;
02/05/2018;11:18:13;
02/05/2018;11:18:16;
02/05/2018;11:18:18;
02/05/2018;11:18:22;
02/05/2018;11:18:30;
02/05/2018;11:18:37;
02/05/2018;11:18:44;
02/05/2018;11:18:51;
02/05/2018;11:18:55;
02/05/2018;11:19:14;
02/05/2018;11:19:24;
02/05/2018;11:19:26;
02/05/2018;11:19:30;
02/05/2018;11:19:32;
02/05/2018;11:19:37;
02/05/2018;11:19:44;
02/05/2018;11:19:49;
02/05/2018;11:20:08;
02/05/2018;11:20:22;
02/05/2018;11:20:42;
02/05/2018;11:21:02;
02/05/2018;11:21:05;
02/05/2018;11:21:11;
02/05/2018;11:21:13;
02/05/2018;11:21:16;
02/05/2018;11:21:19;
02/05/2018;11:21:44;
02/05/2018;11:21:49;
02/05/2018;11:21:52;
02/05/2018;11:21:55;
02/05/2018;11:22:01;
